ingr_id,catalogPhoto,name,relativeUrl
13434,https://s1.eda.ru/StaticContent/Photos/120131084114/120327134602/p_O.jpg,Изюм,/wiki/ingredienty/bakaleya/izjum-13434
13455,https://s1.eda.ru/StaticContent/Photos/120214141717/121026162719/p_O.jpg,Манная крупа,/wiki/ingredienty/krupy-bobovye-muka/mannaya-krupa-13455
13671,,Ванилин,/wiki/ingredienty/specii-pripravy/vanil-13522#13671
13895,,Ягодный сироп,/wiki/ingredienty/gotovye-produkty/yagodnyy-sirop-13895
13428,https://s1.eda.ru/StaticContent/Photos/120328144247/120329172742/p_O.jpg,Редис,/wiki/ingredienty/ovoschi-korneplody/redis-13428
14610,https://s1.eda.ru/StaticContent/Photos/i/130328131935/p_O.jpg,Салат романо,/wiki/ingredienty/zelen-travy/zelenyy-salat-13414#14610
13583,https://s1.eda.ru/StaticContent/Photos/120214160714/121001234417/p_O.jpg,Пита,/wiki/ingredienty/gotovye-produkty/pita-13583
14600,,Сумах,/wiki/ingredienty/specii-pripravy/sumah-14600
13590,https://s1.eda.ru/StaticContent/Photos/130104145234/130115165516/p_O.jpg,Сода,/wiki/ingredienty/bakaleya/soda-13590
13607,,Плавленый сырок,/wiki/ingredienty/bakaleya/plavlenij-sirok-13607
14428,https://s1.eda.ru/StaticContent/Photos/120126130718/120329184711/p_O.jpg,Зеленый сладкий перец,/wiki/ingredienty/ovoschi-korneplody/sladkiy-perec-13467#14428
